"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"
"338"	594	343	126	64	19	10	3	2	2	0	0	0	0	0	0	0	0
"339"	611	338	127	50	23	7	5	2	0	0	0	0	0	0	0	0	0
"340"	610	307	139	61	25	12	3	4	2	0	0	0	0	0	0	0	0
"341"	601	338	131	62	20	8	2	1	0	0	0	0	0	0	0	0	0
"342"	573	360	152	52	16	8	2	0	0	0	0	0	0	0	0	0	0
"343"	591	336	146	59	14	8	7	1	1	0	0	0	0	0	0	0	0
"344"	608	312	156	61	18	6	2	0	0	0	0	0	0	0	0	0	0
"345"	594	340	148	57	13	6	5	0	0	0	0	0	0	0	0	0	0
"346"	585	316	169	60	22	7	2	1	1	0	0	0	0	0	0	0	0
"347"	581	336	159	52	22	8	3	1	1	0	0	0	0	0	0	0	0
"348"	573	356	148	54	22	5	3	1	1	0	0	0	0	0	0	0	0
"349"	614	313	160	44	21	6	4	1	0	0	0	0	0	0	0	0	0
"350"	597	334	144	49	26	7	4	1	1	0	0	0	0	0	0	0	0
"351"	565	348	148	68	20	10	3	0	1	0	0	0	0	0	0	0	0
"352"	581	317	155	74	21	8	5	1	1	0	0	0	0	0	0	0	0
"353"	591	350	139	38	33	8	2	1	1	0	0	0	0	0	0	0	0
"354"	604	345	129	48	24	9	2	1	1	0	0	0	0	0	0	0	0
"355"	594	328	154	49	25	10	1	1	1	0	0	0	0	0	0	0	0
"356"	583	344	137	65	26	6	1	1	0	0	0	0	0	0	0	0	0
"357"	600	341	126	58	26	9	3	0	0	0	0	0	0	0	0	0	0
